2021-11-16 19:12:14.496 | INFO     | request id: None | __main__:build_and_run - Setting up model...
2021-11-16 19:12:14.496 | DEBUG    | request id: None | __main__:_set_parameters - Defining model indices and sets...
2021-11-16 19:12:14.497 | DEBUG    | request id: None | __main__:_set_parameters - Model indices and sets defined successfully.
2021-11-16 19:12:14.497 | DEBUG    | request id: None | __main__:_set_parameters - Defining model parameters...
2021-11-16 19:12:14.507 | DEBUG    | request id: None | __main__:_set_parameters - Model parameters defined successfully.
2021-11-16 19:12:14.507 | DEBUG    | request id: None | __main__:_set_parameters - Defining model decision variables...
2021-11-16 19:12:14.508 | DEBUG    | request id: None | __main__:_set_parameters - Model decision variables defined successfully.
2021-11-16 19:12:14.508 | DEBUG    | request id: None | __main__:_set_constraints - Defining model constraints...
2021-11-16 19:12:14.510 | DEBUG    | request id: None | __main__:_set_constraints - Model constraints defined successfully.
2021-11-16 19:12:14.510 | DEBUG    | request id: None | __main__:_set_objective_function - Defining model objective function...
2021-11-16 19:12:14.511 | DEBUG    | request id: None | __main__:_set_objective_function - Model objective function defined successfully.
2021-11-16 19:12:14.511 | INFO     | request id: None | __main__:build_and_run - Model setup completed successfully.
2021-11-16 19:12:14.511 | INFO     | request id: None | __main__:build_and_run - Solving model...
2021-11-16 19:12:14.526 | DEBUG    | request id: None | __main__:_solve_model - Solver starting...
2021-11-16 19:12:14.574 | DEBUG    | request id: None | __main__:_solve_model - Solver completed.
2021-11-16 19:12:14.574 | DEBUG    | request id: None | __main__:_solve_model - Solution is feasible and optimal
2021-11-16 19:12:14.575 | INFO     | request id: None | __main__:build_and_run - Model solved successfully.
2021-11-16 19:12:22.780 | DEBUG    | request id: None | base.data_connectors.PandasFileConnector:load - [PandasFileConnector] Data loading (./data/or2/q1_data.csv) initiated...
2021-11-16 19:12:22.781 | DEBUG    | request id: None | base.data_connectors.PandasFileConnector:_check_filetype - [_check_filetype] File extension detected as .csv
